distribution,median_sum,mean_sum,ci_lower_sum,ci_upper_sum,p2_5_sum,p97_5_sum
bootstrap_all,42297895.72610744,65239932.48737102,63953157.743826926,66526707.23091513,1499456.0601634234,248606782.87374127
bootstrap_biogas,21557691.8043895,33244238.092919733,32495178.162694335,33993298.023145124,5905165.701606024,172299826.6536383
heavy_tail,13313657.698867302,18607421.94355402,18250362.666287266,18964481.220820777,2673052.9403828057,66160488.50231484
