source,flow_m3_per_day,size_PE,ch4_kg_per_hr,has_ad,reported_biogas_production,biogas_production_kgCH4_per_hr,biogas_measured_num,calculated_biogas_production_kgCH4_per_hr,biogas_production_used_kgCH4_per_hr,production_normalized_CH4_percent,data_availability
Paredes et al. 2019,56332.8,,100.72522158333334,yes,no,,,83.32189702547295,83.32189702547295,1.20886855891603,Biogas production interpolated from flow
Paredes et al. 2019,80956.8,,73.8651625,yes,no,,,119.74327839396956,119.74327839396956,0.616862704033999,Biogas production interpolated from flow
Paredes et al. 2019,65664.0,,12.758528070833334,yes,no,,,97.12368364932429,97.12368364932429,0.1313637167727225,Biogas production interpolated from flow
Galfalk et al 2021,42000.0,,7.433333333333334,yes,no,,,62.12223917628564,62.12223917628564,0.11965655829371509,Biogas production interpolated from flow
Noyola et al. 2018,475200.0,,63.392857125,yes,no,,,702.868763251689,702.868763251689,0.0901915982604277,Biogas production interpolated from flow
Fredenslund et al. 2018,69315.06849,,6.5,yes,no,,,102.52398245848573,102.52398245848573,0.06339980016511743,Biogas production interpolated from flow
Fredenslund et al. 2018,69315.06849,,13.5,yes,no,,,102.52398245848573,102.52398245848573,0.1316765080352439,Biogas production interpolated from flow
Scheutz et al. 2019,19000.0,,8.1,yes,no,,,28.102917722605408,28.102917722605408,0.2882263001995884,Biogas production interpolated from flow
Scheutz et al. 2019,25000.0,,10.0,yes,no,,,36.977523319217646,36.977523319217646,0.27043455327368787,Biogas production interpolated from flow
Scheutz et al. 2019,84000.0,,12.3,yes,no,,,124.24447835257128,124.24447835257128,0.09899836325197504,Biogas production interpolated from flow
Tauber et al. 2019,52000.0,,0.7286529679166667,yes,no,,,76.9132485039727,76.9132485039727,0.009473699032215894,Biogas production interpolated from flow
"Rodríguez-Caballero et al., 2014",21812.0,,0.05625,yes,no,,,32.26214954555101,32.26214954555101,0.0017435292065886832,Biogas production interpolated from flow
"Ribera-Guardia et al., 2019",42000.0,,1.4375,yes,no,,,62.12223917628564,62.12223917628564,0.023139861329221807,Biogas production interpolated from flow
"Ribera-Guardia et al., 2019",42000.0,,1.79125,yes,no,,,62.12223917628564,62.12223917628564,0.028834279378065087,Biogas production interpolated from flow
"Baresel et al., 2022",110.4,,0.0009229166666666,yes,no,,,0.1632927429776651,0.1632927429776651,0.00565191477488277,Biogas production interpolated from flow
Asadi et al 2021,93000.0,,0.9125,yes,no,,,137.55638674748963,137.55638674748963,0.006633643275866672,Biogas production interpolated from flow
Asadi et al 2021,93000.0,,1.0208333333333333,yes,no,,,137.55638674748963,137.55638674748963,0.007421199098572304,Biogas production interpolated from flow
Asadi et al 2021,93000.0,,1.375,yes,no,,,137.55638674748963,137.55638674748963,0.00999590082664841,Biogas production interpolated from flow
Yver Kwok et al. 2015,67200.0,,1.425,yes,no,,,99.39558268205703,99.39558268205703,0.014336653214843946,Biogas production interpolated from flow
"Kosse et al., 2016",278011.0,,20.00171232916667,yes,no,,,411.20632941996064,411.20632941996064,0.04864154780248806,Biogas production interpolated from flow
Wang et al. 2011,300000.0,,1.6090182649999998,yes,no,,,443.7302798306117,443.7302798306117,0.0036261177975373273,Biogas production interpolated from flow
Wang et al. 2011,300000.0,,2.53344748875,yes,no,,,443.7302798306117,443.7302798306117,0.0057094311655204386,Biogas production interpolated from flow
"Tumendelger et al., 2019",14700.0,,0.006561111125,yes,no,,,21.742783711699975,21.742783711699975,0.00030176040069190455,Biogas production interpolated from flow
"Samuelsson et al., 2018",403561.6438,,31.0,yes,no,,,596.9084037742522,596.9084037742522,0.051934266302814606,Biogas production interpolated from flow
Guha et al. 2020,402265.7534,,204.0,yes,no,,,594.9916510748461,594.9916510748461,0.34286195382990026,Biogas production interpolated from flow
Guha et al. 2020,402265.7534,,290.0,yes,no,,,594.9916510748461,594.9916510748461,0.4874017971111327,Biogas production interpolated from flow
Guha et al. 2020,402265.7534,,427.0,yes,no,,,594.9916510748461,594.9916510748461,0.7176571288498402,Biogas production interpolated from flow
Guha et al. 2020,226843.8356,,82.0,yes,no,,,335.5249288287909,335.5249288287909,0.24439316710753953,Biogas production interpolated from flow
Guha et al. 2020,226843.8356,,91.0,yes,no,,,335.5249288287909,335.5249288287909,0.27121680739983045,Biogas production interpolated from flow
Guha et al. 2020,250698.6301,,83.0,yes,no,,,370.80857762474676,370.80857762474676,0.2238351672759708,Biogas production interpolated from flow
Guha et al. 2020,250698.6301,,130.0,yes,no,,,370.80857762474676,370.80857762474676,0.35058520175754465,Biogas production interpolated from flow
