cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
30000180001.0,BIGFORK COUNTY WATER & SEWER DIS.,MT,Bigfork,48.0638,-114.0831,0.5,639.7087881465751,83.60417006294371,71.87688990123756,5.561313044461202,0.0,0.0,0.3373989823874756,31.27840505162796,832.366965189233,['*C1'],1892.7058920000002
47000555001.0,Gatlinburg WWTP,TN,Gatlinburg,35.7355,-83.5227,3.0,3841.681050189562,499.5336874169941,428.4831493450135,1605.747609153058,0.0,0.0,375.490905800508,0.0,6750.936401905135,['*A1'],11356.235352000002
47002034001.0,CLAIBORNE-NEW TAZEWELL STP,TN,New Tazewell,36.4637,-83.5608,0.65,465.9955911943647,108.8841868977647,92.57120367204568,322.3679913684419,11.42033239679525,2.579896235688323,79.71831534780362,0.0,1083.537517112904,"['*C1', '*C3']",2460.5176596
22003157001.0,LOCKPORT STP,LA,Lockport,29.6419,-90.5464,0.35,447.996137112359,58.40092462135495,50.15176184389227,177.5963193004845,0.0,0.0,43.8072723433926,0.0,777.9524152214833,"['*A1', '*C1']",1324.8941244
22003221001.0,TRIUMPH-BURAS STP,LA,Buras,29.3416,-89.5167,2.5,3198.543940732875,418.0208503147185,359.3844495061878,1144.807679863341,0.0,0.0,312.90908816709,0.0,5433.666008584213,['*C1'],9463.52946
6001079001.0,Ukiah WWTF,CA,Ukiah,39.1123,-123.1892,3.01,3851.046904642381,503.2971037789211,432.6988772054501,701.7155636825603,0.0,0.0,376.7425421531764,0.0,5865.500991462489,['*C1'],11394.08946984
6005008001.0,HANFORD WWTF,CA,Hanford,36.2983,-119.6489,5.0,4710.235051091996,3557.838971461725,722.2012321400509,1214.538843878949,0.0,0.0,0.0,340.2413714761089,10545.05547004883,"['*C1', 'L-u']",18927.05892
51000130001.0,GALAX SEWAGE FACILITY,VA,Galax,36.6714,-80.9339,3.0,3838.25272887945,501.6250203776622,431.2613394074254,1636.088460097518,0.0,0.0,375.490905800508,0.0,6782.718454562563,['*C1'],11356.235352000002
36005029001.0,Saranac Lake (V) STP & San Sewers,NY,Saranac Lake,44.347913,-74.114885,2.62,3355.068117165551,436.2594203441748,374.2086170946452,635.4030001849239,0.0,0.0,12.27684187866928,33.38967947007959,4846.605676138043,['*A1'],9917.77887408
36009031001.0,Olean (C) WWTP,NY,Olean,42.069846,-78.43123,7.0,8963.922450442311,1165.578603972986,999.794015138365,1697.641603547507,0.0,0.0,139.2627479452055,0.0,12966.19942104637,['*A1'],26497.882488000003
29001022001.0,St. Joseph WWTP,MO,Saint Joseph,39.730774,-94.869801,27.0,34575.12945170605,4495.803186752946,3856.348344105122,29675.4433594143,0.0,0.0,135.4301063796477,576.6381514202806,73314.79259977833,['*A1'],102206.118168
23000011001.0,LEWISTON-AUBURN W W T P,ME,Lewiston,44.0756,-70.2044,14.2,18323.81710941296,2393.928450797089,2039.580524782927,1006.408027432773,0.0,0.0,136.6729471624266,371.7133398869837,24272.12039947516,['*A1e'],53752.847332800004
23000101001.0,NORRIDGEWOCK WWTF,ME,Norridgewock,44.720515,-69.793267,0.19,243.5234855791127,32.06676582731743,27.15152850394253,28.72558463136603,0.0,0.0,3.376677738772544,9.18364743031041,344.0276897108216,['A1'],719.22823896
53000776001.0,King County South Treatment Plant,WA,Renton,47.4708,-122.243,122.0,158451.1732635678,109627.1096974963,17335.03169279165,17714.47003921314,0.0,0.0,0.0,6109.54067409423,309237.3253671632,['F1e'],461820.237648
55000380001.0,BEAVER DAM WWTP,WI,Beaver Dam,43.4442,-88.844,5.6,7276.898136060385,5573.360636133963,811.6873498997445,4901.393307617461,0.0,0.0,0.0,762.520939615019,19325.86036932658,['*E1e'],21198.3059904
55000708001.0,BROOKFIELD - Fox River WPCC,WI,Brookfield,43.0524,-88.1764,12.5,15953.19640032571,12737.45853295546,1791.233419464999,18364.85666174813,0.0,0.0,1564.54544083545,0.0,50411.29045532975,['*E1'],47317.647300000004
36001010006.0,NCSD #3 - Cedar Creek STP,NY,Wantagh,40.652306,-73.506472,72.0,92909.49520265724,12138.22876460496,10341.53505523738,22297.25269337304,0.0,0.0,754.5177001174169,2052.083460095271,140493.1128760853,['*A1e'],272549.648448
36007075001.0,Norwich (C) STP,NY,Norwich,42.511944,-75.517778,2.5,1600.700437578984,2103.70770392975,356.0065364604221,602.0192241939069,0.0,0.0,231.0760209581325,0.0,4893.509923121195,"['*A1', 'L-a']",9463.52946
36009090001.0,Grand Island (T) STP SD #2,NY,Grand Island,43.05739,-78.96687,3.5,4493.878074397069,584.5596865105965,500.5330249375755,930.4401036615166,0.0,0.0,438.072723433926,0.0,6947.483612940683,['*B1'],13248.941244000001
55002070001.0,HARTFORD WPCF,WI,Hartford,43.3303,-88.4106,3.6,4594.520563293805,3668.388057491173,515.8752248059197,5289.078718583462,0.0,0.0,450.5890869606097,0.0,14518.45165113497,['*E1'],13627.4824224
55002220001.0,HUDSON WWTP,WI,Hudson,44.966498,-92.756109,2.2,2815.221767209648,359.913047411806,314.8494353285004,349.0692999988334,0.0,0.0,275.3599975870393,0.0,4114.413547535827,['*C1e'],8327.905924800001
