plant_index,state,flow_m3_per_day,median_bootstrap_all,p2_5_bootstrap_all,p97_5_bootstrap_all,mean_bootstrap_all,elec_mu_usd_per_kwh_bootstrap_all,ng_mu_usd_per_mj_bootstrap_all,median_bootstrap_biogas,p2_5_bootstrap_biogas,p97_5_bootstrap_biogas,mean_bootstrap_biogas,elec_mu_usd_per_kwh_bootstrap_biogas,ng_mu_usd_per_mj_bootstrap_biogas,median_heavy_tail,p2_5_heavy_tail,p97_5_heavy_tail,mean_heavy_tail,elec_mu_usd_per_kwh_heavy_tail,ng_mu_usd_per_mj_heavy_tail
14,MI,96528.000492,68820.89079700886,2505.0538771773586,405049.8574208578,107044.74315038399,0.0816,0.007761507126458787,36088.64287193712,9869.624323670467,283963.3346656012,55096.08481386368,0.0816,0.007761507126458787,22363.45193201595,4391.980154813704,113424.07968232647,31335.010351615,0.0816,0.007761507126458787
15,IL,94635.2946,69912.11360553172,2334.3416838710305,396705.85106708657,105546.52498263057,0.08199999999999999,0.00683925745613839,34203.41912482603,9404.832503226107,270495.86034523393,52156.87729186141,0.08199999999999999,0.00683925745613839,21212.387981862004,4126.080653669614,106738.70733404614,29561.40153325856,0.08199999999999999,0.00683925745613839
16,IL,34068.706056,23622.94190896106,883.2906868584942,140295.54958900445,36811.42996877915,0.08199999999999999,0.00683925745613839,12380.621759078842,3400.4489301734748,96176.71856207508,19127.595535497727,0.08199999999999999,0.00683925745613839,7652.966186757614,1602.657744966096,37146.851018772395,10708.373269037818,0.08199999999999999,0.00683925745613839
17,IN,219932.42465040003,147483.49748072238,4881.772685424437,904569.1367018222,234534.81026352572,0.0824,0.006218336886021686,78838.31620626838,21438.643932148727,644935.3523148572,122912.88639062423,0.0824,0.006218336886021686,48369.596327863954,9843.784877214828,241061.67246783612,67655.30105025276,0.0824,0.006218336886021686
18,CA,32554.541342399996,50199.49911662063,1894.9564558076538,294927.2593230757,78237.25566188937,0.1864,0.012847577090502956,25819.307310938,7000.778947217383,205683.86685589858,39834.07736872409,0.1864,0.012847577090502956,15726.875684698492,3172.3724763432892,79816.69917128056,22202.599988737322,0.1864,0.012847577090502956
19,TX,416395.29624,201231.97545053906,6778.766199978941,1175590.4314306343,310452.9178586767,0.066,0.0022554026591003772,102801.30586154331,28609.259546264413,817750.5705055285,157654.18718748965,0.066,0.0022554026591003772,63105.66488122332,13875.25591099452,327751.73597855563,89950.27611892796,0.066,0.0022554026591003772
20,WI,2271.2470704,1614.8521020323824,59.37010049459881,9691.066862523856,2544.8751454577605,0.0868,0.006263992810294974,837.8358220511964,228.87114497093748,6763.934213293587,1305.7535485745902,0.0868,0.006263992810294974,524.5231056720356,104.4108265632678,2644.640713988265,737.194419154161,0.0868,0.006263992810294974
21,KS,54888.470868,33757.51148607677,1218.5454507902882,198040.24862500007,52960.89295778655,0.0764,0.005076938779189512,17333.072974827614,4816.722311166315,139212.3593625662,26675.15583544053,0.0764,0.005076938779189512,11000.144867596118,2137.1986300743924,56161.58760311327,15338.51649898193,0.0764,0.005076938779189512
22,MO,77979.48275040001,57099.73186258199,2125.11860500824,344057.153092435,90019.88694930931,0.079,0.008756806275616444,29769.076488173334,8182.893801146005,238601.7428084351,45842.23601264826,0.079,0.008756806275616444,18107.621766610275,3649.927222031308,90750.36522634841,25661.010723559477,0.079,0.008756806275616444
23,CA,76465.3180368,120013.33603241753,4700.176758422237,687412.4704087547,183079.02057742156,0.1864,0.012847577090502956,60890.31350575341,16646.18698689459,479185.2101834124,93061.16912207556,0.1864,0.012847577090502956,37851.89885353719,7212.640551386661,183042.7776120777,51792.87611092209,0.1864,0.012847577090502956
