cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
47000940001.0,Memphis S. T. E. MAXSON WWTP,TN,Memphis,35.0706,-90.1566,90.0,116136.8690033216,15172.7859557562,12926.91881904672,26626.40853731026,0.0,0.0,4744.547983170254,528.3562806108139,176135.8865792158,['*A1e'],340687.06056
36007227001.0,Ithaca (C) Ithaca Area STP,NY,Ithaca,42.4646,-76.5129,13.1,17028.6101490831,2158.252355525034,1896.276468937381,2069.294882197191,0.0,0.0,1639.643621995552,0.0,24792.07747773826,['*B1e'],49588.894370400005
26000569001.0,Clinton River Water Resource Recovery Facility,MI,Pontiac,42.6378,-83.2497,25.5,32905.44621760777,4298.95602079759,3662.626998729905,13976.06684614851,0.0,0.0,0.0,0.0,54843.09608328377,['*A1e'],96528.00049199999
17000073001.0,Kankakee River Metropolitan Agency,IL,Kankakee,41.135644,-87.885397,25.0,32125.69891768787,4152.291879401905,3584.322637718928,1631.351350395208,0.0,0.0,0.0,1846.737827480945,43340.40261268485,"['*A1e', '*C1e']",94635.29460000001
17000136001.0,NORTHWEST REGIONAL WRF @ FOX LAKE,IL,Fox Lake,42.3905,-88.1767,9.0,11605.91559096436,5214.779147118811,1296.258971938773,741.8227835604463,0.0,0.0,0.0,722.6365411881959,19581.41303477059,"['*C1e', '*E1e']",34068.706056
18000225001.0,FORT WAYNE WPCP,IN,Fort Wayne,41.0797,-85.1,58.1,75497.8181616265,57823.61659988987,8421.25625520985,44268.60291468439,0.0,0.0,7272.007209003173,0.0,193283.3011404138,['*E1e'],219932.42465040003
6001010005.0,ELK RIVER WWTF,CA,Eureka,40.76629,-124.19529,8.6,8102.587618454727,6103.953579223199,1239.432398817768,1693.39414862286,0.0,0.0,0.0,281.5271525045679,17420.89489762312,"['*C1e', 'L-u']",32554.541342399996
48004026002.0,Southside WWTP - Dallas,TX,Dallas,32.643888,-96.645833,110.0,142939.0705297576,109476.7267812029,15943.85865874498,58601.23375006887,0.0,0.0,11308.92854794521,0.0,338269.8182677195,['*E1e'],416395.29624
55004840001.0,TOMAHAWK WWTP,WI,Irma,45.44808,-89.72077,0.6,774.245793355477,101.151906371708,86.17945879364481,114.8040030356316,0.0,0.0,0.0,81.69867210160916,1158.079833658071,['*A1e'],2271.2470704
20000498007.0,JO CO ICMB WWTP,KS,Overland Park,38.8923,-94.6713,14.5,9420.98419400675,18209.80980938682,2080.182197000918,8340.747729825262,0.0,0.0,0.0,918.9076367604981,38970.63156698026,"['*E1e', 'L-a']",54888.470868
29001003023.0,Columbia Regional WWTP,MO,Columbia,38.889926,-92.448874,20.6,26582.43890520472,3472.882118761975,2958.828085248472,13461.92378072224,0.0,0.0,34.30662309197651,864.0166525847474,47374.39616561413,['*A1e'],77979.48275040001
6002006001.0,Dublin-San Ramon WWTF,CA,Pleasanton,37.6894,-121.9147,20.2,26248.81113364639,20103.9080089118,2927.872226424079,4748.702802597571,0.0,0.0,943.7945753424659,0.0,54973.0887469223,['*E1e'],76465.3180368
6002036001.0,East Bay MUD Main WWTP,CA,Oakland,37.8232,-122.2976,120.0,155987.2685412193,19770.25058496214,17370.47147118211,22160.20827448149,0.0,0.0,464.9397516242661,7196.954534796396,222950.0931582657,['*B1e'],454249.41408
41000001002.0,TRI CITY WPCP,OR,Oregon City,45.3753,-122.5903,13.0,16892.7992444259,12938.1586195967,1884.274205124407,1921.165501739406,0.0,0.0,64.97566340508808,692.0965445070279,34393.46977879852,['*E1e'],49210.353192
6008020001.0,Corona WWTF #1,CA,Corona,33.8923,-117.6067,11.5,10948.70460424512,12944.22876038281,1667.907575401373,3714.361977499265,0.0,0.0,312.89933518591,851.0013089287241,30439.10356164321,"['*E1e', 'L-u']",43532.235516
