source,flow_m3_per_day,size_PE,ch4_kg_per_hr,has_ad,reported_biogas_production,biogas_production_kgCH4_per_hr
"Moore et al., 2025",314729.95118399983,,31.901965175194626,yes,no,
"Moore et al., 2025",697056.5413679994,,167.50569483984626,yes,no,
"Moore et al., 2025",2649.7882488,,3.349400403972083,yes,no,
"Moore et al., 2025",7934.223099264001,,1.399207954431775,yes,no,
"Moore et al., 2025",13344.838342527988,,9.777500554149666,no,no,
"Moore et al., 2025",26611.444841520002,,,unknown,no,
"Moore et al., 2025",19824.201512808002,,2.258039717744079,yes,no,
"Moore et al., 2025",3777.840960432,,0.2474119977920687,no,no,
"Moore et al., 2025",6738.03297552,,,yes,no,
"Moore et al., 2025",25135.13424576,,11.329341822263459,unknown,no,
"Moore et al., 2025",6208.07532576,,0.07107774709720374,no,no,
"Moore et al., 2025",21747.19069908,,7.267522477183499,yes,no,
"Moore et al., 2025",42680.5178646,,59.66222476076708,yes,no,
"Moore et al., 2025",17295.546441096,,0.09196284621494331,no,no,
"Moore et al., 2025",122261.229799632,,17.624407223248,yes,no,
"Moore et al., 2025",10178.972287175962,,14.859984021016416,no,no,
"Moore et al., 2025",20630.4942228,,3.5952112518224957,no,no,
"Moore et al., 2025",14286.144072816001,,43.163361721148334,unknown,no,
"Moore et al., 2025",11235.102174912001,,0.451999882162975,unknown,no,
"Moore et al., 2025",2084.373908663199,,3.0053099756207455,yes,no,
"Moore et al., 2025",73184.62782399986,,14.097855901767957,yes,no,
"Moore et al., 2025",184425.26211648,,233.05391640971416,yes,no,
"Moore et al., 2025",21155.720107830002,,3.249534569569104,no,no,
"Moore et al., 2025",4992.958143096001,,0.23190708728304915,unknown,no,
"Moore et al., 2025",3827.0513136239997,,1.4631248707903373,yes,no,
"Moore et al., 2025",6435.2000328,,1.1466554978714167,no,no,
"Moore et al., 2025",5617.5510874560005,,2.3934102072036834,yes,no,
"Moore et al., 2025",24983.7177744,,0.6800087455394958,yes,no,
"Moore et al., 2025",23361.290283777602,,2.5545876864693873,unknown,no,
"Moore et al., 2025",2873.1275440560003,,,unknown,no,
"Moore et al., 2025",1741.2894206400001,,1.1237914353738083,unknown,no,
"Moore et al., 2025",735316.239042,,37.37747204735058,yes,no,
"Moore et al., 2025",294505.0367952,,218.0680990988079,yes,no,
"Moore et al., 2025",187377.88330800002,,161.10888722944958,yes,no,
"Moore et al., 2025",363239.30219377764,,135.74127328505458,yes,no,
"Moore et al., 2025",106748.6123088,,34.7687067732535,yes,no,
"Moore et al., 2025",38013.105134928,,6.481815154726875,yes,no,
"Moore et al., 2025",36043.429203319974,,2.9536809917724582,no,no,
"Moore et al., 2025",355667.82769518,,33.747048268585786,yes,no,
"Moore et al., 2025",7873.65651072,,2.228184077777029,yes,no,
"Moore et al., 2025",29431.5766206,,1.8472745572866331,no,no,
"Moore et al., 2025",2778.492249456,,0.21957710968044705,no,no,
"Moore et al., 2025",253.62258952800002,,,no,no,
"Moore et al., 2025",2187.968011152,,,unknown,no,
"Moore et al., 2025",2999.7495682308,,3.392062858143725,no,no,
"Moore et al., 2025",1281.3618888839962,,1.542047926347525,no,no,
"Moore et al., 2025",5366.767556766,,1.4517706814068747,no,no,
"Moore et al., 2025",972.850828488,,0.37541241876695747,unknown,no,
"Moore et al., 2025",5678.117676,,0.08616483910206874,unknown,no,
"Moore et al., 2025",4167.738374184,,,no,no,
"Moore et al., 2025",3820.426843002,,0.1477099475518621,yes,no,
"Moore et al., 2025",4494.9493687929225,,1.0906475626199166,yes,no,
"Moore et al., 2025",2335.5990707280002,,1.6841143869944333,yes,no,
"Moore et al., 2025",19662.510352319987,,9.651630846244416,yes,no,
"Moore et al., 2025",110534.0240928,,22.817286030893627,yes,no,
"Moore et al., 2025",64276.29209232,,,no,no,
"Moore et al., 2025",5322.288968304,,2.4119825966213417,no,no,
"Moore et al., 2025",11999.755355279964,,2.003845897718971,no,no,
"Moore et al., 2025",187377.88330800002,,38.276201177848584,unknown,no,
"Moore et al., 2025",2331.0565765872,,4.821352768718208,yes,no,
"Moore et al., 2025",4247.232021647962,,0.26336789868164334,unknown,no,
"Moore et al., 2025",2225.822128992,,,no,no,
"Moore et al., 2025",207553.18176377402,,93.26361792873499,yes,no,
"Moore et al., 2025",10414.614170729961,,1.797738533295458,no,no,
"Moore et al., 2025",26914.277784240003,,25.728790441058333,yes,no,
"Moore et al., 2025",3898.97413752,,6.43079801226125,unknown,no,
"Moore et al., 2025",10572.655112712,,0.15742851986319625,yes,no,
"Moore et al., 2025",10720.286172288,,1.426956525391079,no,no,
"Moore et al., 2025",318878.56878949236,,355.891374270835,yes,no,
"Moore et al., 2025",6283.78356144,,,unknown,no,
"Moore et al., 2025",44554.29669768,,,unknown,no,
"Moore et al., 2025",75708.23568,,35.389427851985126,unknown,no,
"Moore et al., 2025",,,,yes,no,
"Moore et al., 2025",10220.611816800001,,0.6785723293191874,no,no,
"Moore et al., 2025",16478.843848698,,1.5340003042565666,yes,no,
"Moore et al., 2025",,,,unknown,no,
"Moore et al., 2025",143845.647792,,50.786170585676665,yes,no,
"Moore et al., 2025",5678.117676,,1.4884724585327915,yes,no,
"Moore et al., 2025",366806.4018696,,,unknown,no,
"Moore et al., 2025",607937.1325104,,12.706927526325664,unknown,no,
"Moore et al., 2025",214254.3069744,,4.399611807835042,unknown,no,
"Moore et al., 2025",2384809.42392,,48.805400894835415,no,no,
"Moore et al., 2025",22712.470704,,6.44498796399,no,no,
"Moore et al., 2025",734369.886096,,807.975470122779,yes,no,
"Moore et al., 2025",503459.767272,,310.06201042712496,yes,no,
"Moore et al., 2025",29261.23309032,,15.15342517401829,yes,no,
"Moore et al., 2025",352043.295912,,635.7929785437416,yes,no,
"Moore et al., 2025",7154.42827176,,,unknown,no,
"Moore et al., 2025",90849.882816,,2.9421647486422,no,no,
"Moore et al., 2025",35582.8707696,,0.3208523961713479,no,no,
Majumder et al. 2014,500000.0,,2.36529680375,no,no,
Paredes et al. 2019,133056.0,,77.222669875,yes,no,
Paredes et al. 2019,472003.2,,778.94171375,yes,no,
Paredes et al. 2019,205372.8,,275.31560570833335,yes,no,
Paredes et al. 2019,56332.8,,100.72522158333334,yes,no,
Paredes et al. 2019,80956.8,,73.8651625,yes,no,
Paredes et al. 2019,65664.0,,12.758528070833334,yes,no,
Galfalk et al 2021,42000.0,,7.433333333333334,yes,no,
Noyola et al. 2018,475200.0,,63.392857125,yes,no,
Fredenslund et al. 2018,69315.06849,,6.5,yes,no,
Fredenslund et al. 2018,69315.06849,,13.5,yes,no,
Scheutz et al. 2019,19000.0,,8.1,yes,no,
Scheutz et al. 2019,25000.0,,10.0,yes,no,
Scheutz et al. 2019,84000.0,,12.299999999999999,yes,no,
Tauber et al. 2019,52000.0,,0.7286529679166667,yes,no,
"Aboobakar et al., 2013",5500.0,,0.07625570775,no,no,
"Rodríguez-Caballero et al., 2014",21812.0,,0.05625,yes,no,
"Toyoda et al., 2011",75000.0,,0.004904166666666667,no,no,
"Ribera-Guardia et al., 2019",42000.0,,1.4375,yes,no,
"Ribera-Guardia et al., 2019",42000.0,,1.79125,yes,no,
Picot et al. 2003,2760.0,,2.355208333333333,no,no,
"Bao et al., 2016",443500.0,,4.0126190475,no,no,
"Masuda et al., 2018",8.894,,4.365470833333333e-05,no,no,
"Baresel et al., 2022",84.0,,7.475e-05,no,no,
"Baresel et al., 2022",110.4,,0.0009229166666666666,yes,no,
Asadi et al 2021,93000.0,,0.9125,yes,no,
Asadi et al 2021,93000.0,,1.0208333333333333,yes,no,
Asadi et al 2021,93000.0,,1.375,yes,no,
Demir et al 2019,17000.0,,0.0,yes,no,
Liu et al. 2014,500000.0,,0.8766270833333333,no,no,
Liu et al. 2014,500000.0,,11.952916666666667,no,no,
"Kyung et al., 2015",5500.0,,10.2947625,no,no,
"Hernandez-Paniagua et al., 2014",16.9,,0.03318775,no,no,
Yapıcıoğlu and Demir 2021,3545.0,,0.14694642858333332,no,no,
Yapıcıoğlu and Demir 2021,1790.0,,0.162,no,no,
Yapıcıoğlu and Demir 2021,1230.0,,0.9420000000000001,no,no,
GWRC 2011,8000.0,,3.3333333333333335,no,no,
GWRC 2011,20000.0,,4.383561645833333,no,no,
Toprak 1995,1336.73,,1.946025,no,no,
Toprak 1995,1336.73,,1.9034000000000002,no,no,
Toprak 1995,1336.73,,1.40895,no,no,
Toprak 1995,1336.73,,2.240525,no,no,
Toprak 1995,1336.73,,2.249825,no,no,
Toprak 1995,1336.73,,2.488525,no,no,
Toprak 1995,1336.73,,3.592125,no,no,
Toprak 1995,1336.73,,3.77735,no,no,
Paredes et al. 2015,13824.0,,53.72011816666667,no,no,
Paredes et al. 2015,19008.0,,16.78753693333333,no,no,
